status,message,whaleName,depID,tagOnHours,pct_resting,pct_traveling,pct_foraging,pct_exploring,prhPath,folder,file,nSamples,nDives,nValidLunges
OK,,mn200105-42,mn200105-42,11.37088889,14.93848815,13.69725811,0,71.36425375,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200105-42 (Antarctic)/mn200105-42 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200105-42 (Antarctic),mn200105-42 10Hzprh,418510,88,12
OK,,mn200105-52,mn200105-52,5.148222222,9.378102473,18.58678292,12.07644494,59.95866966,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200105-52 (Antarctic)/mn200105-52 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200105-52 (Antarctic),mn200105-52 10Hzprh,194734,115,78
OK,,mn200105-53,mn200105-53,12.40355556,8.220089222,17.75498961,8.560269457,65.46465171,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200105-53 (Antarctic)/mn200105-53 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200105-53 (Antarctic),mn200105-53 10Hzprh,455354,159,192
OK,,mn200108-52,mn200108-52,15.92819444,10.18302625,11.56614319,6.720263683,71.53056687,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200108-52 (Antarctic)/mn200108-52 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200108-52 (Antarctic),mn200108-52 10Hzprh,582300,161,120
OK,,mn200108-53,mn200108-53,19.80297222,9.235145678,21.22689215,1.676516011,67.86144616,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200108-53 (Antarctic)/mn200108-53 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200108-53 (Antarctic),mn200108-53 10Hzprh,721874,204,33
OK,,mn200124-42,mn200124-42,9.548861111,11.71314787,8.855622689,16.85570414,62.5755253,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200124-42 (Antarctic)/mn200124-42 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200124-42 (Antarctic),mn200124-42 10Hzprh,347191,103,179
OK,,mn200204-44,mn200204-44,12.07019444,3.079440403,9.514943835,16.53913336,70.86648241,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200204-44 (Antarctic)/mn200204-44 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200204-44 (Antarctic),mn200204-44 10Hzprh,443736,141,249
OK,,mn200204-52,mn200204-52,22.5165,3.484975216,11.37511504,17.12657631,68.01333343,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200204-52 (Antarctic)/mn200204-52 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200204-52 (Antarctic),mn200204-52 10Hzprh,819462,307,500
OK,,mn200219-52,mn200219-52,8.916944444,2.293386499,5.607924987,10.28379178,81.81489673,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200219-52 (Antarctic)/mn200219-52 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200219-52 (Antarctic),mn200219-52 10Hzprh,330100,80,554
OK,,mn200312-58,mn200312-58,3.844805556,4.752443773,15.67338328,23.330901,56.24327195,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200312-58 (Antarctic)/mn200312-58 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200312-58 (Antarctic),mn200312-58 10Hzprh,147671,22,41
OK,,mn200312-71,mn200312-71,4.879555556,4.887740231,0.285772839,57.33958011,37.48690682,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200312-71 (Antarctic)/mn200312-71 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200312-71 (Antarctic),mn200312-71 10Hzprh,196574,20,135
OK,,mn200313-59,mn200313-59,25.32838889,10.68410282,11.34179697,35.34681111,42.6272891,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200313-59 (Antarctic)/mn200313-59 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200313-59 (Antarctic),mn200313-59 10Hzprh,919814,197,552
OK,,mn200313-60,mn200313-60,13.57777778,13.58653846,7.742839607,28.54459902,50.12602291,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200313-60 (Antarctic)/mn200313-60 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200313-60 (Antarctic),mn200313-60 10Hzprh,497696,73,274
OK,,mn200313-70,mn200313-70,18.30158333,11.46197126,2.218387298,35.35683767,50.96280376,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200313-70 (Antarctic)/mn200313-70 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200313-70 (Antarctic),mn200313-70 10Hzprh,671103,84,340
